iso3,country,year,month,year_month,date,n_storms,storm_names,storm_ids,n_track_points_near_country,monthly_max_wind_kt,monthly_max_wind_mps
ATG,Antigua and Barbuda,2015,10,2015-10,2015-10-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2015,11,2015-11,2015-11-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2015,12,2015-12,2015-12-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2016,1,2016-01,2016-01-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2016,2,2016-02,2016-02-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2016,3,2016-03,2016-03-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2016,4,2016-04,2016-04-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2016,5,2016-05,2016-05-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2016,6,2016-06,2016-06-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2016,7,2016-07,2016-07-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2016,8,2016-08,2016-08-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2016,9,2016-09,2016-09-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2016,10,2016-10,2016-10-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2016,11,2016-11,2016-11-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2016,12,2016-12,2016-12-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2017,1,2017-01,2017-01-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2017,2,2017-02,2017-02-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2017,3,2017-03,2017-03-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2017,4,2017-04,2017-04-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2017,5,2017-05,2017-05-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2017,6,2017-06,2017-06-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2017,7,2017-07,2017-07-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2017,8,2017-08,2017-08-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2017,9,2017-09,2017-09-01,1,IRMA,2017242N16333,2,155.0,79.73882
ATG,Antigua and Barbuda,2017,10,2017-10,2017-10-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2017,11,2017-11,2017-11-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2017,12,2017-12,2017-12-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2018,1,2018-01,2018-01-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2018,2,2018-02,2018-02-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2018,3,2018-03,2018-03-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2018,4,2018-04,2018-04-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2018,5,2018-05,2018-05-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2018,6,2018-06,2018-06-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2018,7,2018-07,2018-07-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2018,8,2018-08,2018-08-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2018,9,2018-09,2018-09-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2018,10,2018-10,2018-10-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2018,11,2018-11,2018-11-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2018,12,2018-12,2018-12-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2019,1,2019-01,2019-01-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2019,2,2019-02,2019-02-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2019,3,2019-03,2019-03-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2019,4,2019-04,2019-04-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2019,5,2019-05,2019-05-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2019,6,2019-06,2019-06-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2019,7,2019-07,2019-07-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2019,8,2019-08,2019-08-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2019,9,2019-09,2019-09-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2019,10,2019-10,2019-10-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2019,11,2019-11,2019-11-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2019,12,2019-12,2019-12-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2020,1,2020-01,2020-01-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2020,2,2020-02,2020-02-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2020,3,2020-03,2020-03-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2020,4,2020-04,2020-04-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2020,5,2020-05,2020-05-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2020,6,2020-06,2020-06-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2020,7,2020-07,2020-07-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2020,8,2020-08,2020-08-01,1,LAURA,2020233N14313,3,40.0,20.57776
ATG,Antigua and Barbuda,2020,9,2020-09,2020-09-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2020,10,2020-10,2020-10-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2020,11,2020-11,2020-11-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2020,12,2020-12,2020-12-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2021,1,2021-01,2021-01-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2021,2,2021-02,2021-02-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2021,3,2021-03,2021-03-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2021,4,2021-04,2021-04-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2021,5,2021-05,2021-05-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2021,6,2021-06,2021-06-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2021,7,2021-07,2021-07-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2021,8,2021-08,2021-08-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2021,9,2021-09,2021-09-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2021,10,2021-10,2021-10-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2021,11,2021-11,2021-11-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2021,12,2021-12,2021-12-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2022,1,2022-01,2022-01-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2022,2,2022-02,2022-02-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2022,3,2022-03,2022-03-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2022,4,2022-04,2022-04-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2022,5,2022-05,2022-05-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2022,6,2022-06,2022-06-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2022,7,2022-07,2022-07-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2022,8,2022-08,2022-08-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2022,9,2022-09,2022-09-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2022,10,2022-10,2022-10-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2022,11,2022-11,2022-11-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2022,12,2022-12,2022-12-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2023,1,2023-01,2023-01-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2023,2,2023-02,2023-02-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2023,3,2023-03,2023-03-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2023,4,2023-04,2023-04-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2023,5,2023-05,2023-05-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2023,6,2023-06,2023-06-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2023,7,2023-07,2023-07-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2023,8,2023-08,2023-08-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2023,9,2023-09,2023-09-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2023,10,2023-10,2023-10-01,2,PHILIPPE | TAMMY,2023266N16323 | 2023292N13309,9,80.0,41.15552
ATG,Antigua and Barbuda,2023,11,2023-11,2023-11-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2023,12,2023-12,2023-12-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2024,1,2024-01,2024-01-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2024,2,2024-02,2024-02-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2024,3,2024-03,2024-03-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2024,4,2024-04,2024-04-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2024,5,2024-05,2024-05-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2024,6,2024-06,2024-06-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2024,7,2024-07,2024-07-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2024,8,2024-08,2024-08-01,1,ERNESTO,2024225N14313,2,44.0,22.635536000000002
ATG,Antigua and Barbuda,2024,9,2024-09,2024-09-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2024,10,2024-10,2024-10-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2024,11,2024-11,2024-11-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2024,12,2024-12,2024-12-01,0,,,0,0.0,0.0
BHS,Bahamas,2007,1,2007-01,2007-01-01,0,,,0,0.0,0.0
BHS,Bahamas,2007,2,2007-02,2007-02-01,0,,,0,0.0,0.0
BHS,Bahamas,2007,3,2007-03,2007-03-01,0,,,0,0.0,0.0
BHS,Bahamas,2007,4,2007-04,2007-04-01,0,,,0,0.0,0.0
BHS,Bahamas,2007,5,2007-05,2007-05-01,0,,,0,0.0,0.0
BHS,Bahamas,2007,6,2007-06,2007-06-01,0,,,0,0.0,0.0
BHS,Bahamas,2007,7,2007-07,2007-07-01,0,,,0,0.0,0.0
BHS,Bahamas,2007,8,2007-08,2007-08-01,0,,,0,0.0,0.0
BHS,Bahamas,2007,9,2007-09,2007-09-01,0,,,0,0.0,0.0
BHS,Bahamas,2007,10,2007-10,2007-10-01,0,,,0,0.0,0.0
BHS,Bahamas,2007,11,2007-11,2007-11-01,1,NOEL,2007297N18300,6,63.0,32.409972
BHS,Bahamas,2007,12,2007-12,2007-12-01,0,,,0,0.0,0.0
BHS,Bahamas,2008,1,2008-01,2008-01-01,0,,,0,0.0,0.0
BHS,Bahamas,2008,2,2008-02,2008-02-01,0,,,0,0.0,0.0
BHS,Bahamas,2008,3,2008-03,2008-03-01,0,,,0,0.0,0.0
BHS,Bahamas,2008,4,2008-04,2008-04-01,0,,,0,0.0,0.0
BHS,Bahamas,2008,5,2008-05,2008-05-01,0,,,0,0.0,0.0
BHS,Bahamas,2008,6,2008-06,2008-06-01,0,,,0,0.0,0.0
BHS,Bahamas,2008,7,2008-07,2008-07-01,0,,,0,0.0,0.0
BHS,Bahamas,2008,8,2008-08,2008-08-01,0,,,0,0.0,0.0
BHS,Bahamas,2008,9,2008-09,2008-09-01,2,HANNA | IKE,2008241N19303 | 2008245N17323,11,110.0,56.588840000000005
BHS,Bahamas,2008,10,2008-10,2008-10-01,0,,,0,0.0,0.0
BHS,Bahamas,2008,11,2008-11,2008-11-01,0,,,0,0.0,0.0
BHS,Bahamas,2008,12,2008-12,2008-12-01,0,,,0,0.0,0.0
BHS,Bahamas,2009,1,2009-01,2009-01-01,0,,,0,0.0,0.0
BHS,Bahamas,2009,2,2009-02,2009-02-01,0,,,0,0.0,0.0
BHS,Bahamas,2009,3,2009-03,2009-03-01,0,,,0,0.0,0.0
BHS,Bahamas,2009,4,2009-04,2009-04-01,0,,,0,0.0,0.0
BHS,Bahamas,2009,5,2009-05,2009-05-01,0,,,0,0.0,0.0
BHS,Bahamas,2009,6,2009-06,2009-06-01,0,,,0,0.0,0.0
BHS,Bahamas,2009,7,2009-07,2009-07-01,0,,,0,0.0,0.0
BHS,Bahamas,2009,8,2009-08,2009-08-01,0,,,0,0.0,0.0
BHS,Bahamas,2009,9,2009-09,2009-09-01,0,,,0,0.0,0.0
BHS,Bahamas,2009,10,2009-10,2009-10-01,0,,,0,0.0,0.0
BHS,Bahamas,2009,11,2009-11,2009-11-01,0,,,0,0.0,0.0
BHS,Bahamas,2009,12,2009-12,2009-12-01,0,,,0,0.0,0.0
BHS,Bahamas,2010,1,2010-01,2010-01-01,0,,,0,0.0,0.0
BHS,Bahamas,2010,2,2010-02,2010-02-01,0,,,0,0.0,0.0
BHS,Bahamas,2010,3,2010-03,2010-03-01,0,,,0,0.0,0.0
BHS,Bahamas,2010,4,2010-04,2010-04-01,0,,,0,0.0,0.0
BHS,Bahamas,2010,5,2010-05,2010-05-01,0,,,0,0.0,0.0
BHS,Bahamas,2010,6,2010-06,2010-06-01,0,,,0,0.0,0.0
BHS,Bahamas,2010,7,2010-07,2010-07-01,1,BONNIE,2010203N22286,5,40.0,20.57776
BHS,Bahamas,2010,8,2010-08,2010-08-01,0,,,0,0.0,0.0
BHS,Bahamas,2010,9,2010-09,2010-09-01,1,NICOLE,2010271N19276,3,40.0,20.57776
BHS,Bahamas,2010,10,2010-10,2010-10-01,0,,,0,0.0,0.0
BHS,Bahamas,2010,11,2010-11,2010-11-01,0,,,0,0.0,0.0
BHS,Bahamas,2010,12,2010-12,2010-12-01,0,,,0,0.0,0.0
BHS,Bahamas,2011,1,2011-01,2011-01-01,0,,,0,0.0,0.0
BHS,Bahamas,2011,2,2011-02,2011-02-01,0,,,0,0.0,0.0
BHS,Bahamas,2011,3,2011-03,2011-03-01,0,,,0,0.0,0.0
BHS,Bahamas,2011,4,2011-04,2011-04-01,0,,,0,0.0,0.0
BHS,Bahamas,2011,5,2011-05,2011-05-01,0,,,0,0.0,0.0
BHS,Bahamas,2011,6,2011-06,2011-06-01,0,,,0,0.0,0.0
BHS,Bahamas,2011,7,2011-07,2011-07-01,1,BRET,2011197N31280,2,43.0,22.121092
BHS,Bahamas,2011,8,2011-08,2011-08-01,2,EMILY | IRENE,2011214N15299 | 2011233N15301,22,101.0,51.958844
BHS,Bahamas,2011,9,2011-09,2011-09-01,0,,,0,0.0,0.0
BHS,Bahamas,2011,10,2011-10,2011-10-01,0,,,0,0.0,0.0
BHS,Bahamas,2011,11,2011-11,2011-11-01,0,,,0,0.0,0.0
BHS,Bahamas,2011,12,2011-12,2011-12-01,0,,,0,0.0,0.0
BHS,Bahamas,2012,1,2012-01,2012-01-01,0,,,0,0.0,0.0
BHS,Bahamas,2012,2,2012-02,2012-02-01,0,,,0,0.0,0.0
BHS,Bahamas,2012,3,2012-03,2012-03-01,0,,,0,0.0,0.0
BHS,Bahamas,2012,4,2012-04,2012-04-01,0,,,0,0.0,0.0
BHS,Bahamas,2012,5,2012-05,2012-05-01,0,,,0,0.0,0.0
BHS,Bahamas,2012,6,2012-06,2012-06-01,0,,,0,0.0,0.0
BHS,Bahamas,2012,7,2012-07,2012-07-01,0,,,0,0.0,0.0
BHS,Bahamas,2012,8,2012-08,2012-08-01,1,ISAAC,2012234N16315,1,55.0,28.294420000000002
BHS,Bahamas,2012,9,2012-09,2012-09-01,0,,,0,0.0,0.0
BHS,Bahamas,2012,10,2012-10,2012-10-01,1,SANDY,2012296N14283,9,90.0,46.29996
BHS,Bahamas,2012,11,2012-11,2012-11-01,0,,,0,0.0,0.0
BHS,Bahamas,2012,12,2012-12,2012-12-01,0,,,0,0.0,0.0
BHS,Bahamas,2013,1,2013-01,2013-01-01,0,,,0,0.0,0.0
BHS,Bahamas,2013,2,2013-02,2013-02-01,0,,,0,0.0,0.0
BHS,Bahamas,2013,3,2013-03,2013-03-01,0,,,0,0.0,0.0
BHS,Bahamas,2013,4,2013-04,2013-04-01,0,,,0,0.0,0.0
BHS,Bahamas,2013,5,2013-05,2013-05-01,0,,,0,0.0,0.0
BHS,Bahamas,2013,6,2013-06,2013-06-01,0,,,0,0.0,0.0
BHS,Bahamas,2013,7,2013-07,2013-07-01,1,DORIAN,2013204N11340,6,25.0,12.8611
BHS,Bahamas,2013,8,2013-08,2013-08-01,1,DORIAN,2013204N11340,8,25.0,12.8611
BHS,Bahamas,2013,9,2013-09,2013-09-01,0,,,0,0.0,0.0
BHS,Bahamas,2013,10,2013-10,2013-10-01,0,,,0,0.0,0.0
BHS,Bahamas,2013,11,2013-11,2013-11-01,0,,,0,0.0,0.0
BHS,Bahamas,2013,12,2013-12,2013-12-01,0,,,0,0.0,0.0
BHS,Bahamas,2014,1,2014-01,2014-01-01,0,,,0,0.0,0.0
BHS,Bahamas,2014,2,2014-02,2014-02-01,0,,,0,0.0,0.0
BHS,Bahamas,2014,3,2014-03,2014-03-01,0,,,0,0.0,0.0
BHS,Bahamas,2014,4,2014-04,2014-04-01,0,,,0,0.0,0.0
BHS,Bahamas,2014,5,2014-05,2014-05-01,0,,,0,0.0,0.0
BHS,Bahamas,2014,6,2014-06,2014-06-01,0,,,0,0.0,0.0
BHS,Bahamas,2014,7,2014-07,2014-07-01,0,,,0,0.0,0.0
BHS,Bahamas,2014,8,2014-08,2014-08-01,1,CRISTOBAL,2014236N22288,3,35.0,18.00554
BHS,Bahamas,2014,9,2014-09,2014-09-01,0,,,0,0.0,0.0
BHS,Bahamas,2014,10,2014-10,2014-10-01,0,,,0,0.0,0.0
BHS,Bahamas,2014,11,2014-11,2014-11-01,0,,,0,0.0,0.0
BHS,Bahamas,2014,12,2014-12,2014-12-01,0,,,0,0.0,0.0
BHS,Bahamas,2015,1,2015-01,2015-01-01,0,,,0,0.0,0.0
BHS,Bahamas,2015,2,2015-02,2015-02-01,0,,,0,0.0,0.0
BHS,Bahamas,2015,3,2015-03,2015-03-01,0,,,0,0.0,0.0
BHS,Bahamas,2015,4,2015-04,2015-04-01,0,,,0,0.0,0.0
BHS,Bahamas,2015,5,2015-05,2015-05-01,1,ANA,2015126N27281,1,25.0,12.8611
BHS,Bahamas,2015,6,2015-06,2015-06-01,0,,,0,0.0,0.0
BHS,Bahamas,2015,7,2015-07,2015-07-01,0,,,0,0.0,0.0
BHS,Bahamas,2015,8,2015-08,2015-08-01,0,,,0,0.0,0.0
BHS,Bahamas,2015,9,2015-09,2015-09-01,0,,,0,0.0,0.0
BHS,Bahamas,2015,10,2015-10,2015-10-01,1,JOAQUIN,2015270N27291,15,120.0,61.73328
BHS,Bahamas,2015,11,2015-11,2015-11-01,1,KATE,2015313N22289,5,45.0,23.14998
BHS,Bahamas,2015,12,2015-12,2015-12-01,0,,,0,0.0,0.0
BHS,Bahamas,2016,1,2016-01,2016-01-01,0,,,0,0.0,0.0
BHS,Bahamas,2016,2,2016-02,2016-02-01,0,,,0,0.0,0.0
BHS,Bahamas,2016,3,2016-03,2016-03-01,0,,,0,0.0,0.0
BHS,Bahamas,2016,4,2016-04,2016-04-01,0,,,0,0.0,0.0
BHS,Bahamas,2016,5,2016-05,2016-05-01,0,,,0,0.0,0.0
BHS,Bahamas,2016,6,2016-06,2016-06-01,0,,,0,0.0,0.0
BHS,Bahamas,2016,7,2016-07,2016-07-01,0,,,0,0.0,0.0
BHS,Bahamas,2016,8,2016-08,2016-08-01,0,,,0,0.0,0.0
BHS,Bahamas,2016,9,2016-09,2016-09-01,0,,,0,0.0,0.0
BHS,Bahamas,2016,10,2016-10,2016-10-01,1,MATTHEW,2016273N13300,9,120.0,61.73328
BHS,Bahamas,2016,11,2016-11,2016-11-01,0,,,0,0.0,0.0
BHS,Bahamas,2016,12,2016-12,2016-12-01,0,,,0,0.0,0.0
BHS,Bahamas,2017,1,2017-01,2017-01-01,0,,,0,0.0,0.0
BHS,Bahamas,2017,2,2017-02,2017-02-01,0,,,0,0.0,0.0
BHS,Bahamas,2017,3,2017-03,2017-03-01,0,,,0,0.0,0.0
BHS,Bahamas,2017,4,2017-04,2017-04-01,0,,,0,0.0,0.0
BHS,Bahamas,2017,5,2017-05,2017-05-01,0,,,0,0.0,0.0
BHS,Bahamas,2017,6,2017-06,2017-06-01,0,,,0,0.0,0.0
BHS,Bahamas,2017,7,2017-07,2017-07-01,0,,,0,0.0,0.0
BHS,Bahamas,2017,8,2017-08,2017-08-01,0,,,0,0.0,0.0
BHS,Bahamas,2017,9,2017-09,2017-09-01,1,IRMA,2017242N16333,5,140.0,72.02216
BHS,Bahamas,2017,10,2017-10,2017-10-01,0,,,0,0.0,0.0
BHS,Bahamas,2017,11,2017-11,2017-11-01,0,,,0,0.0,0.0
BHS,Bahamas,2017,12,2017-12,2017-12-01,0,,,0,0.0,0.0
BHS,Bahamas,2018,1,2018-01,2018-01-01,0,,,0,0.0,0.0
BHS,Bahamas,2018,2,2018-02,2018-02-01,0,,,0,0.0,0.0
BHS,Bahamas,2018,3,2018-03,2018-03-01,0,,,0,0.0,0.0
BHS,Bahamas,2018,4,2018-04,2018-04-01,0,,,0,0.0,0.0
BHS,Bahamas,2018,5,2018-05,2018-05-01,0,,,0,0.0,0.0
BHS,Bahamas,2018,6,2018-06,2018-06-01,0,,,0,0.0,0.0
BHS,Bahamas,2018,7,2018-07,2018-07-01,1,BERYL,2018186N10325,4,25.0,12.8611
BHS,Bahamas,2018,8,2018-08,2018-08-01,0,,,0,0.0,0.0
BHS,Bahamas,2018,9,2018-09,2018-09-01,0,,,0,0.0,0.0
BHS,Bahamas,2018,10,2018-10,2018-10-01,0,,,0,0.0,0.0
BHS,Bahamas,2018,11,2018-11,2018-11-01,0,,,0,0.0,0.0
BHS,Bahamas,2018,12,2018-12,2018-12-01,0,,,0,0.0,0.0
BHS,Bahamas,2019,1,2019-01,2019-01-01,0,,,0,0.0,0.0
BHS,Bahamas,2019,2,2019-02,2019-02-01,0,,,0,0.0,0.0
BHS,Bahamas,2019,3,2019-03,2019-03-01,0,,,0,0.0,0.0
BHS,Bahamas,2019,4,2019-04,2019-04-01,0,,,0,0.0,0.0
BHS,Bahamas,2019,5,2019-05,2019-05-01,0,,,0,0.0,0.0
BHS,Bahamas,2019,6,2019-06,2019-06-01,0,,,0,0.0,0.0
BHS,Bahamas,2019,7,2019-07,2019-07-01,1,UNNAMED,2019204N25283,5,25.0,12.8611
BHS,Bahamas,2019,8,2019-08,2019-08-01,0,,,0,0.0,0.0
BHS,Bahamas,2019,9,2019-09,2019-09-01,2,DORIAN | HUMBERTO,2019236N10314 | 2019256N23286,27,160.0,82.31104
BHS,Bahamas,2019,10,2019-10,2019-10-01,0,,,0,0.0,0.0
BHS,Bahamas,2019,11,2019-11,2019-11-01,0,,,0,0.0,0.0
BHS,Bahamas,2019,12,2019-12,2019-12-01,0,,,0,0.0,0.0
BHS,Bahamas,2020,1,2020-01,2020-01-01,0,,,0,0.0,0.0
BHS,Bahamas,2020,2,2020-02,2020-02-01,0,,,0,0.0,0.0
BHS,Bahamas,2020,3,2020-03,2020-03-01,0,,,0,0.0,0.0
BHS,Bahamas,2020,4,2020-04,2020-04-01,0,,,0,0.0,0.0
BHS,Bahamas,2020,5,2020-05,2020-05-01,0,,,0,0.0,0.0
BHS,Bahamas,2020,6,2020-06,2020-06-01,0,,,0,0.0,0.0
BHS,Bahamas,2020,7,2020-07,2020-07-01,1,ISAIAS,2020211N13306,3,73.0,37.554412
BHS,Bahamas,2020,8,2020-08,2020-08-01,1,ISAIAS,2020211N13306,9,75.0,38.5833
BHS,Bahamas,2020,9,2020-09,2020-09-01,1,SALLY,2020256N25281,2,30.0,15.43332
BHS,Bahamas,2020,10,2020-10,2020-10-01,0,,,0,0.0,0.0
BHS,Bahamas,2020,11,2020-11,2020-11-01,1,ETA,2020306N15288,1,55.0,28.294420000000002
BHS,Bahamas,2020,12,2020-12,2020-12-01,0,,,0,0.0,0.0
BHS,Bahamas,2021,1,2021-01,2021-01-01,0,,,0,0.0,0.0
BHS,Bahamas,2021,2,2021-02,2021-02-01,0,,,0,0.0,0.0
BHS,Bahamas,2021,3,2021-03,2021-03-01,0,,,0,0.0,0.0
BHS,Bahamas,2021,4,2021-04,2021-04-01,0,,,0,0.0,0.0
BHS,Bahamas,2021,5,2021-05,2021-05-01,0,,,0,0.0,0.0
BHS,Bahamas,2021,6,2021-06,2021-06-01,0,,,0,0.0,0.0
BHS,Bahamas,2021,7,2021-07,2021-07-01,0,,,0,0.0,0.0
BHS,Bahamas,2021,8,2021-08,2021-08-01,0,,,0,0.0,0.0
BHS,Bahamas,2021,9,2021-09,2021-09-01,0,,,0,0.0,0.0
BHS,Bahamas,2021,10,2021-10,2021-10-01,0,,,0,0.0,0.0
BHS,Bahamas,2021,11,2021-11,2021-11-01,0,,,0,0.0,0.0
BHS,Bahamas,2021,12,2021-12,2021-12-01,0,,,0,0.0,0.0
BHS,Bahamas,2022,1,2022-01,2022-01-01,0,,,0,0.0,0.0
BHS,Bahamas,2022,2,2022-02,2022-02-01,0,,,0,0.0,0.0
BHS,Bahamas,2022,3,2022-03,2022-03-01,0,,,0,0.0,0.0
BHS,Bahamas,2022,4,2022-04,2022-04-01,0,,,0,0.0,0.0
BHS,Bahamas,2022,5,2022-05,2022-05-01,0,,,0,0.0,0.0
BHS,Bahamas,2022,6,2022-06,2022-06-01,0,,,0,0.0,0.0
BHS,Bahamas,2022,7,2022-07,2022-07-01,0,,,0,0.0,0.0
BHS,Bahamas,2022,8,2022-08,2022-08-01,0,,,0,0.0,0.0
BHS,Bahamas,2022,9,2022-09,2022-09-01,0,,,0,0.0,0.0
BHS,Bahamas,2022,10,2022-10,2022-10-01,0,,,0,0.0,0.0
BHS,Bahamas,2022,11,2022-11,2022-11-01,1,NICOLE,2022311N21293,7,65.0,33.43886
BHS,Bahamas,2022,12,2022-12,2022-12-01,0,,,0,0.0,0.0
BHS,Bahamas,2023,1,2023-01,2023-01-01,0,,,0,0.0,0.0
BHS,Bahamas,2023,2,2023-02,2023-02-01,0,,,0,0.0,0.0
BHS,Bahamas,2023,3,2023-03,2023-03-01,0,,,0,0.0,0.0
BHS,Bahamas,2023,4,2023-04,2023-04-01,0,,,0,0.0,0.0
BHS,Bahamas,2023,5,2023-05,2023-05-01,0,,,0,0.0,0.0
BHS,Bahamas,2023,6,2023-06,2023-06-01,0,,,0,0.0,0.0
BHS,Bahamas,2023,7,2023-07,2023-07-01,0,,,0,0.0,0.0
BHS,Bahamas,2023,8,2023-08,2023-08-01,0,,,0,0.0,0.0
BHS,Bahamas,2023,9,2023-09,2023-09-01,0,,,0,0.0,0.0
BHS,Bahamas,2023,10,2023-10,2023-10-01,0,,,0,0.0,0.0
BHS,Bahamas,2023,11,2023-11,2023-11-01,0,,,0,0.0,0.0
BHS,Bahamas,2023,12,2023-12,2023-12-01,0,,,0,0.0,0.0
BHS,Bahamas,2024,1,2024-01,2024-01-01,0,,,0,0.0,0.0
